CustomerID,Age,Gender,Location,IncomeLevel,PurchaseFrequency,AvgOrderValue,RecencyDays,TenureDays,Churned,CLV
CUST1087,42,Other,Urban,Medium,2,70.32,125,600,0,231.19
CUST1088,62,Female,Rural,Low,12,72.5,204,1209,0,2881.73
CUST1089,58,Male,Urban,Medium,4,74.9,256,663,0,544.2
CUST1090,46,Male,Suburban,Low,2,31.84,131,661,1,57.66
CUST1091,32,Male,Urban,Low,3,34.44,21,838,0,237.21
CUST1092,62,Female,Urban,Medium,1,46.54,78,351,1,22.38
CUST1093,18,Female,Urban,High,8,44.56,335,1488,0,1453.27
CUST1094,42,Female,Urban,Medium,8,43.49,51,603,0,574.78
CUST1095,24,Male,Suburban,Low,6,65.12,362,1723,0,1844.41
CUST1096,26,Female,Rural,Low,3,62.23,361,1093,1,279.52
CUST1097,41,Female,Suburban,High,5,32.51,266,1807,0,804.73
CUST1098,18,Male,Rural,Medium,5,27.18,116,1093,0,406.96
CUST1099,61,Female,Rural,Low,5,25.22,55,1506,1,260.15
CUST1100,25,Male,Suburban,High,3,32.42,292,899,0,239.55
CUST1101,41,Male,Rural,High,9,66.92,51,1243,0,2051.05
CUST1102,28,Female,Suburban,High,6,52.87,330,775,1,336.77
CUST1103,34,Male,Urban,High,7,68.52,273,1068,0,1403.44
CUST1104,25,Female,Suburban,High,5,16.0,254,1177,0,257.97
CUST1105,52,Female,Urban,Low,4,55.47,61,1793,0,1089.95
CUST1106,52,Female,Suburban,Low,4,55.21,347,1952,0,1181.04
CUST1107,50,Male,Suburban,Medium,3,74.01,351,1333,0,810.87
CUST1108,22,Female,Urban,Medium,11,41.82,225,966,0,1217.48
CUST1109,59,Female,Urban,Medium,4,40.4,336,988,1,218.71
CUST1110,56,Female,Rural,Medium,6,80.13,103,77,0,101.42
CUST1111,58,Male,Suburban,Medium,8,46.58,48,218,0,222.56
CUST1112,45,Male,Urban,Medium,4,53.55,225,333,1,97.71
CUST1113,24,Female,Suburban,Low,10,59.53,342,1612,0,2629.11
CUST1114,26,Male,Suburban,Low,4,16.64,233,1749,1,159.47
CUST1115,25,Female,Suburban,Medium,6,50.82,70,1158,1,483.7
CUST1116,29,Female,Rural,Medium,6,25.1,47,398,0,164.22
CUST1117,51,Female,Suburban,Low,5,48.25,228,1554,0,1027.13
CUST1118,50,Female,Urban,Medium,4,44.11,10,489,1,118.19
CUST1119,40,Female,Rural,Medium,7,39.87,185,276,1,105.52
CUST1120,41,Female,Rural,Medium,3,62.53,80,293,0,150.59
CUST1121,54,Female,Urban,Low,6,51.95,13,1259,0,1075.15
CUST1122,52,Female,Urban,Medium,5,28.78,314,1560,0,615.02
CUST1123,61,Male,Urban,Low,2,28.1,340,559,0,86.07
CUST1124,57,Male,Suburban,High,5,66.8,324,1417,0,1296.65
CUST1125,39,Female,Suburban,Low,1,49.24,84,1816,0,244.99
CUST1126,44,Male,Suburban,Medium,3,21.52,86,779,1,68.89
CUST1127,52,Male,Rural,Low,6,41.67,157,1393,0,954.19
CUST1128,18,Male,Suburban,Medium,6,46.85,144,436,1,167.89
CUST1129,52,Female,Urban,Medium,12,25.32,63,482,0,401.24
CUST1130,54,Female,Urban,Low,3,37.26,43,1886,0,577.58
CUST1131,64,Female,Urban,Medium,4,68.36,158,1930,0,1445.86
CUST1132,31,Female,Urban,Low,3,99.79,185,843,0,691.42
CUST1133,20,Female,Suburban,Medium,4,56.05,286,607,0,372.85
CUST1134,18,Male,Rural,Medium,0,22.9,323,1901,1,0.0
CUST1135,22,Female,Urban,Medium,7,45.65,24,994,0,870.23
CUST1136,43,Male,Suburban,High,7,52.44,357,1203,1,604.93
CUST1137,31,Female,Suburban,Medium,3,65.73,205,1246,0,673.15
CUST1138,56,Female,Urban,Medium,4,66.2,362,1961,0,1422.67
CUST1139,44,Male,Urban,Low,6,77.29,224,176,0,223.61
CUST1140,26,Male,Urban,Medium,4,49.97,101,435,1,119.11
CUST1141,32,Male,Urban,Medium,3,50.35,204,212,0,87.73
CUST1142,32,Male,Rural,Low,4,12.24,8,1159,0,155.46
CUST1143,43,Male,Urban,High,7,29.74,172,265,1,75.57
CUST1144,59,Female,Urban,Low,5,22.75,208,667,1,103.93
CUST1145,30,Female,Suburban,High,4,33.19,96,987,0,359.0
CUST1146,49,Female,Rural,Low,11,26.96,162,208,1,84.5
CUST1147,56,Female,Urban,High,2,28.32,291,461,0,71.54
CUST1148,49,Female,Urban,Medium,4,71.79,96,1454,1,571.96
CUST1149,21,Female,Urban,Low,5,11.53,306,554,0,87.5
CUST1150,47,Male,Urban,Low,4,46.03,145,772,0,389.43
CUST1151,54,Female,Urban,Medium,4,67.28,258,1593,0,1174.54
CUST1152,40,Male,Suburban,High,1,43.97,300,1944,0,234.19
CUST1153,56,Other,Urban,Low,2,76.54,102,352,0,147.63
CUST1154,62,Female,Urban,Low,9,38.01,177,1314,1,615.76
CUST1155,32,Female,Rural,Medium,6,85.01,328,1665,1,1163.36
CUST1156,60,Male,Urban,Medium,7,18.63,110,1753,0,626.33
CUST1157,46,Female,Urban,Medium,6,76.58,198,428,0,538.79
CUST1158,53,Female,Urban,Medium,4,32.12,129,366,0,128.83
CUST1159,30,Male,Rural,Low,10,78.9,359,1353,0,2924.7
CUST1160,49,Male,Urban,High,3,40.64,137,148,1,24.72
CUST1161,24,Female,Rural,Medium,9,72.09,27,1611,0,2863.65
CUST1162,39,Male,Suburban,Low,0,75.48,137,442,0,0.0
CUST1163,45,Female,Urban,Medium,8,38.44,164,609,0,513.1
CUST1164,19,Male,Rural,Medium,7,70.44,349,1437,0,1941.25
CUST1165,59,Male,Urban,Medium,1,49.44,356,1533,0,207.65
CUST1166,62,Female,Urban,Medium,3,20.75,131,334,0,56.96
CUST1167,23,Male,Rural,Low,4,60.17,151,1736,0,1144.71
CUST1168,45,Female,Suburban,Medium,4,29.67,246,1923,0,625.26
CUST1169,45,Male,Suburban,High,5,36.94,110,225,0,113.86
CUST1170,61,Male,Urban,Low,8,32.14,73,362,0,255.01
CUST1171,61,Female,Urban,Medium,8,57.56,286,1073,0,1353.69
CUST1172,37,Female,Suburban,High,4,30.29,275,652,1,108.21
CUST1173,47,Female,Urban,High,1,25.47,358,687,0,47.94
CUST1174,28,Female,Urban,Medium,7,29.13,67,733,1,204.75
CUST1175,45,Female,Urban,Medium,3,35.8,50,1486,0,437.25
CUST1176,42,Male,Urban,Medium,2,59.93,304,912,0,299.49
CUST1177,56,Male,Rural,High,7,68.18,3,1479,0,1933.88
CUST1178,50,Female,Urban,High,2,67.89,226,1282,0,476.9
CUST1179,18,Female,Rural,Low,8,49.3,66,553,1,298.77
CUST1180,44,Female,Urban,Medium,6,48.79,155,246,0,197.3
CUST1181,30,Male,Suburban,Medium,4,46.33,362,1019,0,517.37
CUST1182,58,Male,Urban,Medium,6,58.88,111,1644,1,795.61
CUST1183,20,Female,Urban,Medium,5,72.39,296,404,0,400.62
CUST1184,56,Female,Urban,Medium,3,46.98,256,65,0,25.1
CUST1185,23,Female,Urban,High,9,60.65,274,805,0,1203.86
CUST1186,25,Female,Suburban,Low,5,25.19,155,57,0,19.67
CUST1187,44,Female,Rural,Low,5,67.05,139,1425,0,1308.85
CUST1188,26,Male,Suburban,Medium,6,54.32,167,115,0,102.69
CUST1189,54,Male,Urban,Medium,5,29.35,19,217,1,43.62
CUST1190,50,Male,Urban,Low,4,71.39,345,334,1,130.65
CUST1191,59,Male,Urban,Low,3,25.18,223,795,0,164.53
CUST1192,61,Female,Suburban,Medium,2,10.0,57,1475,0,80.82
CUST1193,41,Male,Suburban,High,6,66.94,294,109,0,119.94
CUST1194,32,Female,Rural,Medium,3,57.71,133,215,0,101.98
CUST1195,49,Male,Urban,Medium,4,25.78,338,1058,0,298.91
CUST1196,49,Male,Suburban,Low,6,57.11,292,587,1,275.54
CUST1197,41,Male,Urban,Medium,4,73.4,344,1919,1,771.81
CUST1198,58,Male,Suburban,Medium,7,55.22,205,1550,0,1641.47
CUST1199,29,Female,Suburban,Medium,9,98.77,119,538,0,1310.26
CUST1200,56,Male,Suburban,Low,10,32.98,253,1667,0,1506.24
CUST1201,19,Female,Suburban,Low,7,10.0,85,1000,0,191.78
CUST1202,20,Male,Urban,Low,6,21.78,185,1055,0,377.72
CUST1203,54,Male,Suburban,Medium,5,10.0,225,246,0,33.7
CUST1204,34,Male,Urban,High,4,92.78,148,1590,0,1616.66
CUST1205,19,Female,Suburban,High,2,49.9,280,286,0,78.2
CUST1206,19,Female,Urban,Medium,3,88.78,227,1788,0,1304.7
CUST1207,45,Male,Suburban,Medium,4,42.91,286,1506,1,354.1
CUST1208,40,Male,Rural,High,10,31.9,284,1477,0,1290.86
CUST1209,54,Female,Rural,Low,2,15.4,181,353,0,29.79
CUST1210,49,Male,Rural,Medium,1,42.06,109,1552,0,178.84
CUST1211,50,Male,Suburban,High,4,66.88,135,1634,0,1197.61
CUST1212,18,Female,Suburban,Medium,9,45.51,291,226,1,126.8
CUST1213,36,Female,Suburban,High,6,18.05,290,533,0,158.15
CUST1214,19,Male,Rural,High,10,63.06,103,1325,1,1144.58
CUST1215,61,Female,Urban,Medium,6,66.78,201,723,0,793.68
CUST1216,43,Female,Rural,High,4,39.4,117,988,0,426.6
CUST1217,49,Male,Rural,Medium,4,36.9,332,47,0,19.01
CUST1218,23,Female,Suburban,Medium,9,15.81,310,136,0,53.02
CUST1219,49,Female,Urban,Medium,5,62.56,29,1582,0,1355.75
CUST1220,21,Male,Urban,Low,4,40.75,27,154,1,34.39
CUST1221,28,Male,Rural,Medium,2,10.0,13,512,0,28.05
CUST1222,34,Male,Urban,Medium,5,20.3,42,1647,0,458.0
CUST1223,55,Female,Rural,Low,4,61.24,224,1057,0,709.38
CUST1224,41,Male,Urban,Low,5,43.16,21,656,0,387.85
CUST1225,22,Female,Urban,Low,2,27.29,136,380,0,56.82
CUST1226,51,Female,Rural,Medium,6,51.08,326,380,0,319.08
CUST1227,23,Male,Suburban,High,5,33.2,221,678,0,308.35
CUST1228,39,Female,Suburban,High,4,37.14,145,1852,0,753.79
CUST1229,28,Male,Suburban,Medium,4,44.61,10,930,1,227.33
CUST1230,33,Female,Urban,High,2,83.71,225,257,1,58.94
CUST1231,50,Female,Suburban,Medium,4,83.62,141,45,0,41.24
CUST1232,26,Male,Urban,Medium,6,10.58,106,1863,1,162.0
CUST1233,23,Male,Rural,Medium,5,48.71,268,454,1,151.47
CUST1234,33,Male,Rural,Low,7,20.96,194,493,0,198.17
CUST1235,46,Male,Urban,High,1,28.74,128,753,0,59.29
CUST1236,20,Male,Suburban,Medium,2,12.82,213,1299,0,91.25
CUST1237,37,Male,Suburban,Medium,5,32.65,151,1851,0,827.88
CUST1238,53,Other,Urban,Medium,6,26.14,180,823,1,176.82
CUST1239,36,Male,Rural,Medium,8,70.51,317,206,1,159.18
CUST1240,43,Male,Urban,Low,5,33.16,26,572,1,129.91
CUST1241,20,Female,Urban,Medium,9,11.08,15,538,0,146.98
CUST1242,36,Male,Suburban,Low,1,49.94,22,1615,0,220.97
CUST1243,37,Other,Suburban,Medium,3,46.46,345,1708,0,652.22
CUST1244,49,Female,Suburban,Medium,5,44.73,65,593,0,363.35
CUST1245,24,Female,Suburban,Medium,4,62.2,251,262,0,178.59
CUST1246,58,Male,Suburban,Medium,2,74.64,21,1731,0,707.96
CUST1247,50,Male,Suburban,Medium,4,44.44,233,1091,0,531.33
CUST1248,57,Male,Urban,Medium,2,55.31,16,520,0,157.6
CUST1249,56,Female,Urban,Medium,3,44.95,272,1046,1,193.22
CUST1250,35,Male,Urban,Medium,9,60.13,205,473,0,701.3
CUST1251,57,Male,Urban,Medium,5,20.61,298,49,1,6.92
CUST1252,18,Other,Suburban,High,2,62.35,160,1664,1,284.25
CUST1253,28,Male,Urban,Low,6,55.66,41,1780,1,814.31
CUST1254,45,Male,Urban,Medium,6,30.81,108,1609,1,407.45
CUST1255,42,Male,Urban,High,6,94.17,125,140,0,216.72
CUST1256,40,Other,Rural,Medium,4,22.81,152,516,0,128.99
CUST1257,48,Male,Rural,Low,8,56.6,13,118,1,73.19
CUST1258,47,Female,Suburban,Medium,5,30.86,203,1372,1,290.0
CUST1259,59,Female,Rural,Low,8,61.56,79,1171,0,1579.98
CUST1260,52,Male,Suburban,Low,9,89.99,42,463,1,513.68
CUST1261,24,Female,Suburban,High,5,65.51,169,1971,0,1768.77
CUST1262,33,Male,Urban,Medium,6,47.68,249,1292,0,1012.64
CUST1263,43,Male,Suburban,Low,6,68.57,121,101,0,113.84
CUST1264,19,Female,Suburban,High,6,38.19,272,851,0,534.24
CUST1265,18,Female,Suburban,High,6,59.78,300,1958,0,1924.1
CUST1266,29,Female,Suburban,Medium,2,51.76,209,1452,0,411.81
CUST1267,22,Female,Suburban,Low,2,25.67,158,845,0,118.86
CUST1268,54,Male,Suburban,High,6,84.17,121,433,1,299.55
CUST1269,49,Male,Rural,Medium,8,74.88,227,1728,0,2836.0
CUST1270,26,Male,Urban,Medium,6,32.88,24,280,0,151.34
CUST1271,58,Male,Suburban,High,8,70.51,230,898,0,1387.79
CUST1272,52,Male,Urban,Medium,5,26.45,26,1248,0,452.19
CUST1273,36,Male,Suburban,Low,6,59.26,58,1625,0,1582.97
CUST1274,33,Male,Suburban,Medium,8,50.95,265,1663,0,1857.09
CUST1275,20,Male,Urban,Medium,2,83.57,126,1983,1,454.03
CUST1276,37,Female,Suburban,Medium,8,56.64,275,897,0,1113.56
CUST1277,41,Female,Urban,Medium,2,19.1,28,1920,0,200.94
CUST1278,50,Male,Suburban,Low,8,70.39,301,1638,1,1263.55
CUST1279,41,Female,Urban,Medium,3,41.19,128,1275,1,215.82
CUST1280,28,Female,Suburban,Medium,9,40.25,94,1684,0,1671.31
CUST1281,25,Male,Urban,Medium,7,50.58,191,1235,0,1197.98
CUST1282,53,Female,Suburban,Medium,7,38.51,272,925,0,683.16
CUST1283,55,Female,Urban,Medium,4,85.9,5,1783,0,1678.46
CUST1284,57,Female,Rural,Medium,8,66.1,157,285,0,412.9
CUST1285,37,Male,Rural,Low,3,27.12,52,1961,1,218.56
CUST1286,52,Female,Rural,Medium,5,35.45,243,1141,0,554.09
CUST1287,42,Male,Suburban,High,3,23.81,151,902,0,176.52
CUST1288,52,Female,Suburban,Medium,4,69.35,262,1840,0,1398.4
CUST1289,42,Female,Urban,Medium,2,48.66,305,521,1,69.46
CUST1290,46,Female,Urban,High,2,30.47,80,365,0,60.94
CUST1291,35,Female,Urban,Low,5,81.44,183,1591,0,1774.95
CUST1292,63,Female,Suburban,Low,9,60.1,354,1460,0,2163.6
CUST1293,35,Male,Rural,Medium,6,53.71,107,662,0,584.48
CUST1294,19,Male,Urban,Low,5,52.77,154,1342,1,485.05
CUST1295,52,Female,Rural,High,1,22.84,293,391,0,24.47
CUST1296,33,Male,Suburban,Low,6,61.19,205,1494,0,1502.76
CUST1297,58,Male,Suburban,Medium,6,41.62,116,1083,0,740.95
CUST1298,53,Male,Urban,Medium,3,67.41,17,948,1,262.62
CUST1299,50,Male,Urban,Low,4,62.78,288,1767,0,1215.7
CUST1300,21,Female,Suburban,Medium,4,48.78,156,923,1,246.71
CUST1301,50,Female,Suburban,Low,4,47.36,25,1601,0,830.94
CUST1302,31,Female,Urban,Medium,5,83.18,278,666,0,758.88
CUST1303,38,Female,Suburban,Low,7,23.26,317,1276,0,569.2
CUST1304,37,Male,Rural,High,7,38.53,126,776,0,573.41
CUST1305,25,Male,Rural,High,5,72.73,300,1177,1,586.32
CUST1306,24,Female,Rural,Low,13,79.7,358,712,1,1010.55
CUST1307,20,Male,Urban,Low,8,47.24,276,1032,0,1068.53
CUST1308,34,Female,Urban,Medium,2,36.01,178,1036,0,204.42
CUST1309,50,Female,Suburban,Low,3,36.42,344,722,0,216.13
CUST1310,29,Male,Urban,High,5,21.31,47,244,1,35.61
CUST1311,39,Female,Urban,Medium,9,90.03,200,147,0,326.33
CUST1312,39,Female,Urban,Medium,7,47.04,51,256,0,230.95
CUST1313,63,Female,Urban,High,6,59.3,295,920,0,896.81
CUST1314,47,Male,Urban,Medium,7,59.5,270,473,0,539.74
CUST1315,55,Male,Urban,High,5,79.68,197,578,1,315.45
CUST1316,55,Female,Urban,High,6,41.61,21,858,1,293.44
CUST1317,62,Male,Urban,Low,4,43.02,143,1661,0,783.08
CUST1318,25,Male,Suburban,Low,3,66.62,248,1685,0,922.64
CUST1319,44,Female,Suburban,High,7,14.1,356,1490,0,402.91
CUST1320,44,Male,Suburban,High,6,79.81,353,41,1,26.89
CUST1321,51,Female,Urban,Low,4,84.76,1,1175,0,1091.43
CUST1322,38,Female,Urban,High,5,54.92,338,1600,0,1203.73
CUST1323,47,Female,Suburban,Medium,5,31.25,274,518,0,221.75
CUST1324,50,Male,Suburban,Low,3,67.06,241,1304,0,718.74
CUST1325,45,Female,Suburban,High,2,46.18,58,608,0,153.85
CUST1326,64,Male,Urban,Low,1,52.84,126,1535,0,222.22
CUST1327,50,Male,Rural,High,3,54.37,329,1603,1,358.17
CUST1328,22,Female,Urban,Low,2,36.83,52,1333,0,269.01
CUST1329,36,Male,Urban,Medium,6,56.95,223,771,0,721.78
CUST1330,21,Male,Suburban,Low,4,20.73,302,1390,0,315.78
CUST1331,52,Female,Suburban,Medium,4,10.0,363,197,0,21.59
CUST1332,34,Male,Urban,Medium,7,57.29,269,990,0,1087.73
CUST1333,61,Male,Urban,Low,4,70.87,96,1381,0,1072.56
CUST1334,45,Female,Suburban,Medium,3,39.73,273,1299,0,424.19
CUST1335,47,Female,Urban,Medium,4,38.61,323,1644,0,695.61
CUST1336,46,Female,Urban,Low,4,62.95,61,1679,0,1158.28
CUST1337,63,Male,Urban,High,5,49.59,321,1354,0,919.79
CUST1338,23,Male,Rural,Medium,6,38.68,181,1782,1,566.53
CUST1339,52,Male,Urban,Medium,3,56.11,133,229,0,105.61
CUST1340,58,Male,Rural,Medium,4,50.13,89,1946,0,1069.07
CUST1341,54,Female,Suburban,Medium,3,25.01,173,1553,0,319.24
CUST1342,41,Male,Rural,Low,2,47.82,312,893,0,233.99
CUST1343,46,Male,Rural,Medium,0,53.66,5,783,1,0.0
CUST1344,63,Female,Urban,Medium,5,39.32,357,1066,0,574.18
CUST1345,48,Female,Urban,Medium,4,68.52,343,1419,1,532.77
CUST1346,52,Female,Urban,High,7,59.67,204,1772,0,2027.8
CUST1347,50,Male,Urban,Medium,1,44.46,162,803,1,48.91
CUST1348,38,Male,Suburban,Low,3,52.67,61,126,1,27.27
CUST1349,49,Male,Urban,Low,5,42.47,190,100,0,58.18
CUST1350,40,Male,Urban,Low,5,45.51,325,1022,1,318.57
CUST1351,50,Female,Urban,Low,7,46.25,63,1868,0,1656.89
CUST1352,20,Female,Rural,Medium,2,14.6,44,1914,1,76.56
CUST1353,35,Female,Urban,Low,4,50.55,239,1795,1,497.19
CUST1354,42,Female,Urban,Low,4,56.37,28,386,1,119.23
CUST1355,59,Male,Urban,Low,4,99.23,198,841,0,914.55
CUST1356,48,Female,Rural,Low,6,58.8,269,573,1,276.92
CUST1357,20,Male,Suburban,Low,8,36.94,171,1303,0,1054.97
CUST1358,57,Female,Urban,Low,6,17.18,30,283,0,79.92
CUST1359,63,Female,Urban,Medium,5,28.87,154,1824,0,721.35
CUST1360,41,Male,Urban,Medium,3,40.01,209,1235,1,203.06
CUST1361,49,Male,Urban,Low,2,40.37,63,1905,0,421.4
CUST1362,64,Other,Rural,Medium,7,45.25,329,1017,0,882.56
CUST1363,39,Male,Suburban,Medium,3,41.95,57,1219,0,420.3
CUST1364,40,Male,Urban,Low,6,45.38,320,33,0,24.62
CUST1365,19,Male,Rural,Low,2,41.55,208,1516,1,172.57
CUST1366,44,Female,Urban,Medium,7,50.37,308,174,1,84.04
CUST1367,59,Female,Suburban,Medium,4,31.93,63,194,0,67.88
CUST1368,19,Female,Rural,Low,9,24.82,248,373,0,228.28
CUST1369,43,Male,Urban,Low,9,45.24,141,1927,0,2149.58
CUST1370,34,Female,Suburban,High,3,58.68,93,1158,0,558.5
CUST1371,57,Male,Urban,Low,10,27.62,107,1601,0,1211.5
CUST1372,50,Female,Urban,Low,8,38.51,88,1367,0,1153.82
CUST1373,26,Female,Urban,High,3,47.08,301,1222,0,472.86
CUST1374,60,Male,Urban,High,6,46.59,108,549,0,420.46
CUST1375,56,Male,Suburban,Medium,5,65.06,46,955,0,851.13
CUST1376,46,Male,Rural,Medium,4,68.8,77,1651,0,1244.81
CUST1377,59,Male,Suburban,Low,1,54.44,217,1489,0,222.09
CUST1378,43,Male,Rural,Low,3,74.19,169,638,0,389.04
CUST1379,52,Female,Rural,Medium,5,42.62,302,541,1,157.93
CUST1380,42,Female,Urban,Low,5,66.8,129,438,0,400.8
CUST1381,41,Male,Urban,Medium,7,37.74,201,465,0,336.56
CUST1382,30,Male,Urban,High,2,55.92,196,1368,0,419.17
CUST1383,24,Male,Suburban,High,4,62.88,348,571,1,196.74
CUST1384,53,Female,Rural,Low,4,51.12,268,642,1,179.83
CUST1385,62,Male,Urban,Medium,4,30.7,88,1632,1,274.53
CUST1386,37,Female,Suburban,Medium,8,16.55,253,929,0,336.99
CUST1387,18,Female,Suburban,High,9,61.14,238,1914,0,2885.47
CUST1388,25,Female,Suburban,Low,6,44.54,73,1116,1,408.55
CUST1389,63,Female,Urban,Low,3,45.94,358,1085,0,409.68
CUST1390,33,Male,Urban,Low,5,80.0,355,1652,1,905.21
CUST1391,31,Female,Urban,Medium,5,31.08,161,1264,0,538.15
